user_id,feature_used,session_duration,engagement_score,accessibility_settings,age_group,gender,additional_attributes,high_accessibility_users,intersectional_label
user_8269,Text-to-Speech,96.47,2.0,5,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_9718,Visual Aid,82.98,1.0,3,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_9905,Multilingual,119.48,4.0,1,Adult,Male,None,False,Adult - Male - None
user_6584,Multilingual,89.78,3.0,5,Teenager,Non-Binary,None,True,Teenager - Non-Binary - None
user_6692,Colorblind Mode,8.49,4.0,4,Professional,Unknown,Person of Color,True,Professional - Unknown - Person of Color
user_7119,High Contrast Mode,78.03,1.0,1,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_8219,Visual Aid,20.98,3.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_7091,Colorblind Mode,53.7,4.0,0,Young Adult,Female,None,False,Young Adult - Female - None
user_8734,Text-to-Speech,92.49,3.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_6046,Text-to-Speech,8.51,5.0,1,Professional,Unknown,LGBTQ+,False,Professional - Unknown - LGBTQ+
user_8837,Multilingual,101.22,2.0,2,Young Adult,Non-Binary,None,False,Young Adult - Non-Binary - None
user_4401,Multilingual,38.03,4.0,4,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_3483,Text-to-Speech,106.07,1.0,2,Adult,Unknown,Person of Color,False,Adult - Unknown - Person of Color
user_1141,Colorblind Mode,98.09,3.0,3,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_1457,Multilingual,49.37,2.0,3,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_6312,High Contrast Mode,72.09,1.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_2648,Multilingual,80.72,2.0,4,Adult,Male,None,True,Adult - Male - None
user_1099,Visual Aid,62.0,4.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_973,Text-to-Speech,84.0,4.0,5,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_6638,Colorblind Mode,58.13,2.0,4,Senior,Male,None,True,Senior - Male - None
user_5809,Colorblind Mode,26.63,1.0,4,Professional,Unknown,LGBTQ+,True,Professional - Unknown - LGBTQ+
user_1381,Visual Aid,21.04,4.0,0,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_4993,Colorblind Mode,68.17,3.0,5,Adult,Non-Binary,None,True,Adult - Non-Binary - None
user_4147,Visual Aid,27.04,5.0,0,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_7564,Visual Aid,78.58,1.0,5,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_3388,Multilingual,59.11,4.0,5,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_6596,Text-to-Speech,111.28,4.0,4,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_5959,Multilingual,89.08,3.0,3,Young Adult,Male,None,True,Young Adult - Male - None
user_4755,Visual Aid,21.72,2.0,2,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_3293,High Contrast Mode,55.86,1.0,4,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_1281,Text-to-Speech,43.48,2.0,4,Professional,Male,None,True,Professional - Male - None
user_299,Text-to-Speech,118.75,1.0,1,Young Adult,Female,None,False,Young Adult - Female - None
user_5570,Text-to-Speech,103.28,5.0,3,Teenager,Male,None,True,Teenager - Male - None
user_5795,Text-to-Speech,59.2,2.0,2,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_7192,Visual Aid,103.72,4.0,3,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_8115,High Contrast Mode,64.2,2.0,4,Adult,Male,None,True,Adult - Male - None
user_1088,Multilingual,81.45,3.0,1,Teenager,Non-Binary,None,False,Teenager - Non-Binary - None
user_741,Text-to-Speech,7.22,5.0,3,Teenager,Unknown,LGBTQ+,True,Teenager - Unknown - LGBTQ+
user_3358,Visual Aid,88.17,4.0,0,Senior,Female,None,False,Senior - Female - None
user_902,Multilingual,85.98,4.0,5,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_2358,Text-to-Speech,30.7,2.0,4,Teenager,Female,None,True,Teenager - Female - None
user_7553,Visual Aid,74.23,3.0,2,Young Adult,Female,None,False,Young Adult - Female - None
user_5416,Multilingual,55.49,4.0,2,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_9393,High Contrast Mode,90.26,3.0,1,Senior,Unknown,LGBTQ+,False,Senior - Unknown - LGBTQ+
user_6789,Multilingual,114.84,2.0,5,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_680,Visual Aid,26.53,1.0,0,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_9130,Text-to-Speech,29.38,4.0,3,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_8943,Colorblind Mode,109.46,5.0,3,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_9474,Colorblind Mode,92.22,3.0,2,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_5418,Visual Aid,79.64,1.0,0,Professional,Male,None,False,Professional - Male - None
user_8979,Multilingual,55.12,4.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_6276,Visual Aid,106.53,3.0,1,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_9992,Text-to-Speech,71.85,4.0,2,Professional,Female,None,False,Professional - Female - None
user_7396,Visual Aid,14.5,3.0,2,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_9960,Text-to-Speech,11.16,4.0,4,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_3098,High Contrast Mode,106.12,1.0,2,Teenager,Non-Binary,None,False,Teenager - Non-Binary - None
user_5436,Multilingual,16.96,5.0,3,Senior,Male,None,True,Senior - Male - None
user_8543,Colorblind Mode,59.57,1.0,3,Senior,Female,None,True,Senior - Female - None
user_4906,Colorblind Mode,41.7,3.0,5,Teenager,Unknown,Person of Color,True,Teenager - Unknown - Person of Color
user_3340,Multilingual,85.7,4.0,0,Professional,Non-Binary,None,False,Professional - Non-Binary - None
user_4192,Multilingual,87.09,3.0,5,Adult,Male,None,True,Adult - Male - None
user_2640,Multilingual,93.79,3.0,0,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_3086,Colorblind Mode,78.38,1.0,3,Teenager,Female,None,True,Teenager - Female - None
user_1636,Multilingual,62.02,3.0,3,Teenager,Unknown,LGBTQ+,True,Teenager - Unknown - LGBTQ+
user_4289,Colorblind Mode,6.12,4.0,0,Young Adult,Unknown,LGBTQ+,False,Young Adult - Unknown - LGBTQ+
user_9296,Colorblind Mode,7.78,5.0,3,Teenager,Unknown,Person of Color,True,Teenager - Unknown - Person of Color
user_4531,Text-to-Speech,111.87,4.0,1,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_5463,Multilingual,110.44,1.0,1,Senior,Female,None,False,Senior - Female - None
user_2738,High Contrast Mode,24.93,3.0,0,Senior,Female,None,False,Senior - Female - None
user_1662,Text-to-Speech,28.06,2.0,1,Senior,Male,None,False,Senior - Male - None
user_2766,High Contrast Mode,102.31,5.0,2,Teenager,Male,None,False,Teenager - Male - None
user_5663,Colorblind Mode,93.91,2.0,4,Senior,Male,None,True,Senior - Male - None
user_8982,Colorblind Mode,69.57,2.0,1,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_7099,High Contrast Mode,37.94,3.0,4,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_744,Multilingual,14.06,2.0,4,Adult,Male,None,True,Adult - Male - None
user_6952,Text-to-Speech,50.09,5.0,0,Professional,Unknown,Person of Color,False,Professional - Unknown - Person of Color
user_2277,Visual Aid,74.45,2.0,1,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_81,Visual Aid,61.44,1.0,5,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_8392,Visual Aid,79.97,5.0,1,Adult,Non-Binary,None,False,Adult - Non-Binary - None
user_1762,Visual Aid,33.06,4.0,0,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_9037,Visual Aid,68.46,5.0,1,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_730,Colorblind Mode,31.78,5.0,5,Teenager,Non-Binary,None,True,Teenager - Non-Binary - None
user_4466,Visual Aid,87.92,4.0,3,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_783,Colorblind Mode,82.07,2.0,1,Adult,Male,None,False,Adult - Male - None
user_9409,Text-to-Speech,114.38,2.0,5,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_9581,Colorblind Mode,80.93,2.0,5,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_1892,High Contrast Mode,116.32,3.0,2,Professional,Male,None,False,Professional - Male - None
user_5194,High Contrast Mode,80.43,2.0,3,Teenager,Unknown,Person of Color,True,Teenager - Unknown - Person of Color
user_2034,Colorblind Mode,71.92,3.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_4948,Visual Aid,97.61,2.0,1,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_1702,Multilingual,54.66,2.0,1,Young Adult,Male,None,False,Young Adult - Male - None
user_4782,High Contrast Mode,42.65,1.0,3,Adult,Female,None,True,Adult - Female - None
user_35,High Contrast Mode,13.67,2.0,1,Adult,Non-Binary,None,False,Adult - Non-Binary - None
user_5870,Multilingual,65.68,2.0,2,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_977,Visual Aid,73.68,5.0,2,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_9149,Visual Aid,21.99,4.0,2,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_5713,Multilingual,79.81,5.0,4,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_234,High Contrast Mode,13.29,4.0,1,Senior,Female,None,False,Senior - Female - None
user_1298,High Contrast Mode,8.45,5.0,0,Young Adult,Female,None,False,Young Adult - Female - None
user_3968,High Contrast Mode,9.48,4.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_4363,Colorblind Mode,14.58,2.0,1,Professional,Unknown,Person of Color,False,Professional - Unknown - Person of Color
user_7852,Visual Aid,45.1,2.0,5,Adult,Female,None,True,Adult - Female - None
user_4469,Colorblind Mode,45.54,3.0,1,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_2647,Colorblind Mode,6.3,5.0,4,Adult,Female,None,True,Adult - Female - None
user_9854,Colorblind Mode,92.13,5.0,1,Young Adult,Male,None,False,Young Adult - Male - None
user_6579,Text-to-Speech,91.67,5.0,0,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_3591,Colorblind Mode,37.94,4.0,0,Teenager,Male,None,False,Teenager - Male - None
user_6794,Colorblind Mode,60.9,1.0,0,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_4173,Multilingual,7.63,5.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_1183,High Contrast Mode,30.36,5.0,4,Adult,Non-Binary,None,True,Adult - Non-Binary - None
user_2993,Visual Aid,68.86,2.0,3,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_2815,Text-to-Speech,84.96,5.0,4,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_6750,Colorblind Mode,62.16,3.0,2,Teenager,Male,None,False,Teenager - Male - None
user_4968,Multilingual,60.62,4.0,0,Adult,Unknown,Person of Color,False,Adult - Unknown - Person of Color
user_7410,Visual Aid,35.78,3.0,2,Senior,Female,None,False,Senior - Female - None
user_2223,Text-to-Speech,38.45,5.0,2,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_5248,High Contrast Mode,106.51,3.0,0,Professional,Unknown,LGBTQ+,False,Professional - Unknown - LGBTQ+
user_4374,Visual Aid,7.56,5.0,5,Teenager,Male,None,True,Teenager - Male - None
user_3592,Text-to-Speech,101.11,5.0,4,Senior,Male,None,True,Senior - Male - None
user_9420,Text-to-Speech,59.53,5.0,2,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_2922,Visual Aid,26.0,2.0,2,Teenager,Non-Binary,None,False,Teenager - Non-Binary - None
user_4676,High Contrast Mode,21.39,3.0,4,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_5580,Visual Aid,47.55,3.0,5,Professional,Male,None,True,Professional - Male - None
user_3472,Multilingual,31.99,2.0,0,Adult,Female,None,False,Adult - Female - None
user_9826,Visual Aid,60.6,2.0,1,Adult,Male,None,False,Adult - Male - None
user_6519,Multilingual,50.61,5.0,2,Senior,Female,None,False,Senior - Female - None
user_215,High Contrast Mode,27.86,1.0,5,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_4739,Visual Aid,84.68,1.0,4,Adult,Male,None,True,Adult - Male - None
user_2073,Multilingual,92.36,5.0,3,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_4154,Colorblind Mode,51.15,3.0,3,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_429,High Contrast Mode,111.56,1.0,4,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_8797,High Contrast Mode,96.71,5.0,0,Young Adult,Non-Binary,None,False,Young Adult - Non-Binary - None
user_1371,Text-to-Speech,10.77,3.0,5,Senior,Unknown,Person of Color,True,Senior - Unknown - Person of Color
user_7431,Colorblind Mode,102.33,3.0,0,Senior,Unknown,LGBTQ+,False,Senior - Unknown - LGBTQ+
user_4640,Colorblind Mode,24.16,1.0,0,Young Adult,Female,None,False,Young Adult - Female - None
user_4530,Visual Aid,110.21,4.0,2,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_2265,Multilingual,99.11,4.0,3,Young Adult,Unknown,LGBTQ+,True,Young Adult - Unknown - LGBTQ+
user_6020,High Contrast Mode,74.39,5.0,1,Adult,Male,None,False,Adult - Male - None
user_3888,Multilingual,19.05,1.0,0,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_9359,Visual Aid,66.31,1.0,2,Professional,Non-Binary,None,False,Professional - Non-Binary - None
user_6557,High Contrast Mode,47.03,4.0,1,Senior,Unknown,LGBTQ+,False,Senior - Unknown - LGBTQ+
user_8650,Visual Aid,62.58,1.0,3,Young Adult,Female,None,True,Young Adult - Female - None
user_5529,High Contrast Mode,44.05,3.0,3,Teenager,Unknown,LGBTQ+,True,Teenager - Unknown - LGBTQ+
user_3044,Multilingual,114.38,3.0,0,Senior,Unknown,LGBTQ+,False,Senior - Unknown - LGBTQ+
user_7409,Multilingual,79.83,5.0,5,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_7087,High Contrast Mode,113.12,5.0,0,Professional,Male,None,False,Professional - Male - None
user_8244,Multilingual,55.07,3.0,2,Teenager,Non-Binary,None,False,Teenager - Non-Binary - None
user_2899,Visual Aid,47.49,5.0,1,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_314,Multilingual,74.18,3.0,4,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_9313,Visual Aid,111.73,1.0,4,Teenager,Non-Binary,None,True,Teenager - Non-Binary - None
user_1604,Text-to-Speech,29.58,3.0,1,Teenager,Male,None,False,Teenager - Male - None
user_8980,Text-to-Speech,35.34,2.0,5,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_8994,Text-to-Speech,83.15,4.0,0,Young Adult,Unknown,LGBTQ+,False,Young Adult - Unknown - LGBTQ+
user_1673,Colorblind Mode,61.58,2.0,5,Professional,Unknown,Person of Color,True,Professional - Unknown - Person of Color
user_2711,Text-to-Speech,26.38,2.0,2,Senior,Male,None,False,Senior - Male - None
user_2498,Colorblind Mode,34.24,4.0,2,Adult,Non-Binary,None,False,Adult - Non-Binary - None
user_5025,Colorblind Mode,88.79,1.0,3,Senior,Male,None,True,Senior - Male - None
user_6295,Colorblind Mode,72.33,4.0,1,Teenager,Male,None,False,Teenager - Male - None
user_6387,Colorblind Mode,72.86,4.0,2,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_2015,Multilingual,114.21,5.0,4,Adult,Non-Binary,None,True,Adult - Non-Binary - None
user_4255,Visual Aid,28.1,2.0,2,Teenager,Female,None,False,Teenager - Female - None
user_2615,Multilingual,34.21,4.0,1,Adult,Male,None,False,Adult - Male - None
user_8797,Colorblind Mode,49.41,2.0,0,Senior,Male,None,False,Senior - Male - None
user_642,Colorblind Mode,93.25,4.0,0,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_9920,Multilingual,94.14,3.0,0,Professional,Female,None,False,Professional - Female - None
user_7999,High Contrast Mode,52.06,1.0,0,Adult,Male,None,False,Adult - Male - None
user_27,High Contrast Mode,105.81,4.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_2645,High Contrast Mode,40.32,5.0,4,Teenager,Female,None,True,Teenager - Female - None
user_132,Colorblind Mode,39.44,3.0,5,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_9962,High Contrast Mode,29.18,5.0,4,Teenager,Female,None,True,Teenager - Female - None
user_7669,High Contrast Mode,33.88,4.0,1,Professional,Female,None,False,Professional - Female - None
user_9617,Multilingual,109.31,3.0,0,Teenager,Female,None,False,Teenager - Female - None
user_251,Visual Aid,102.4,4.0,3,Young Adult,Non-Binary,None,True,Young Adult - Non-Binary - None
user_9952,Text-to-Speech,119.57,3.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_7133,Visual Aid,43.79,2.0,0,Senior,Male,None,False,Senior - Male - None
user_4045,High Contrast Mode,104.58,1.0,2,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_5865,Text-to-Speech,109.69,3.0,3,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_1664,High Contrast Mode,75.27,4.0,3,Professional,Unknown,LGBTQ+,True,Professional - Unknown - LGBTQ+
user_5213,Visual Aid,6.25,2.0,5,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_1269,Visual Aid,73.49,3.0,1,Adult,Non-Binary,None,False,Adult - Non-Binary - None
user_1226,Colorblind Mode,78.24,5.0,4,Professional,Male,None,True,Professional - Male - None
user_7688,Colorblind Mode,61.39,5.0,3,Adult,Female,None,True,Adult - Female - None
user_5597,Multilingual,105.75,3.0,2,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_3494,Text-to-Speech,68.39,4.0,1,Young Adult,Female,None,False,Young Adult - Female - None
user_3863,Visual Aid,118.68,4.0,1,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_1922,Text-to-Speech,41.45,3.0,1,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_7207,Visual Aid,91.85,3.0,5,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_900,Multilingual,51.48,4.0,2,Professional,Female,None,False,Professional - Female - None
user_2217,Colorblind Mode,66.79,3.0,3,Adult,Male,None,True,Adult - Male - None
user_5740,High Contrast Mode,7.71,2.0,2,Teenager,Unknown,LGBTQ+,False,Teenager - Unknown - LGBTQ+
user_3340,Multilingual,61.51,5.0,3,Teenager,Male,None,True,Teenager - Male - None
user_3920,High Contrast Mode,40.6,5.0,1,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_8174,Visual Aid,85.12,5.0,1,Senior,Female,None,False,Senior - Female - None
user_9807,Multilingual,90.67,5.0,4,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_7766,Colorblind Mode,57.81,4.0,2,Adult,Unknown,LGBTQ+,False,Adult - Unknown - LGBTQ+
user_28,Text-to-Speech,19.3,5.0,3,Teenager,Non-Binary,None,True,Teenager - Non-Binary - None
user_8707,Visual Aid,58.37,2.0,0,Adult,Non-Binary,None,False,Adult - Non-Binary - None
user_6378,Colorblind Mode,57.67,1.0,0,Young Adult,Male,None,False,Young Adult - Male - None
user_843,Visual Aid,7.55,4.0,1,Professional,Unknown,Person of Color,False,Professional - Unknown - Person of Color
user_5053,High Contrast Mode,119.53,1.0,5,Teenager,Non-Binary,None,True,Teenager - Non-Binary - None
user_3862,Text-to-Speech,42.23,1.0,4,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_7663,Text-to-Speech,9.31,3.0,4,Professional,Unknown,Person of Color,True,Professional - Unknown - Person of Color
user_7842,Colorblind Mode,54.15,4.0,5,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_5663,Multilingual,59.78,4.0,2,Professional,Non-Binary,None,False,Professional - Non-Binary - None
user_9017,High Contrast Mode,20.35,4.0,2,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_7550,High Contrast Mode,13.83,1.0,1,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_2951,Colorblind Mode,106.93,3.0,4,Young Adult,Unknown,Person of Color,True,Young Adult - Unknown - Person of Color
user_6026,High Contrast Mode,83.3,2.0,3,Young Adult,Male,None,True,Young Adult - Male - None
user_3250,Colorblind Mode,95.85,2.0,5,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_7655,High Contrast Mode,10.3,4.0,4,Teenager,Female,None,True,Teenager - Female - None
user_1416,Text-to-Speech,6.46,1.0,5,Teenager,Male,None,True,Teenager - Male - None
user_8067,Visual Aid,56.29,2.0,1,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_2267,Text-to-Speech,46.21,3.0,1,Young Adult,Non-Binary,None,False,Young Adult - Non-Binary - None
user_582,Text-to-Speech,61.05,4.0,4,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_1882,Text-to-Speech,54.52,1.0,4,Adult,Female,None,True,Adult - Female - None
user_5298,Text-to-Speech,50.39,2.0,2,Teenager,Male,None,False,Teenager - Male - None
user_3776,Colorblind Mode,57.34,1.0,3,Senior,Unknown,Person of Color,True,Senior - Unknown - Person of Color
user_3935,Multilingual,65.05,3.0,5,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_3722,High Contrast Mode,84.44,2.0,1,Young Adult,Unknown,LGBTQ+,False,Young Adult - Unknown - LGBTQ+
user_407,Multilingual,39.43,1.0,3,Adult,Unknown,LGBTQ+,True,Adult - Unknown - LGBTQ+
user_122,Text-to-Speech,93.08,4.0,4,Senior,Unknown,LGBTQ+,True,Senior - Unknown - LGBTQ+
user_3272,Multilingual,84.71,3.0,5,Teenager,Male,None,True,Teenager - Male - None
user_3054,High Contrast Mode,58.31,1.0,3,Senior,Male,None,True,Senior - Male - None
user_5516,Text-to-Speech,103.57,5.0,0,Young Adult,Female,None,False,Young Adult - Female - None
user_6272,Visual Aid,100.98,1.0,3,Young Adult,Male,None,True,Young Adult - Male - None
user_9428,Colorblind Mode,48.72,5.0,5,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_6812,Visual Aid,24.36,1.0,1,Professional,Unknown,Person of Color,False,Professional - Unknown - Person of Color
user_4451,Visual Aid,50.62,4.0,3,Adult,Unknown,Person of Color,True,Adult - Unknown - Person of Color
user_7292,Visual Aid,85.24,1.0,4,Teenager,Female,None,True,Teenager - Female - None
user_4120,Colorblind Mode,49.25,4.0,0,Senior,Unknown,Person of Color,False,Senior - Unknown - Person of Color
user_1101,Text-to-Speech,82.41,4.0,4,Young Adult,Male,None,True,Young Adult - Male - None
user_3127,High Contrast Mode,56.34,5.0,3,Professional,Non-Binary,None,True,Professional - Non-Binary - None
user_3865,Multilingual,108.66,2.0,1,Young Adult,Unknown,Person of Color,False,Young Adult - Unknown - Person of Color
user_1147,Multilingual,54.16,3.0,1,Senior,Male,None,False,Senior - Male - None
user_1645,Multilingual,25.91,3.0,5,Teenager,Female,None,True,Teenager - Female - None
user_5846,Colorblind Mode,114.76,5.0,5,Senior,Male,None,True,Senior - Male - None
user_1499,Text-to-Speech,101.53,5.0,1,Teenager,Female,None,False,Teenager - Female - None
user_9746,Text-to-Speech,115.26,1.0,4,Senior,Male,None,True,Senior - Male - None
user_6793,High Contrast Mode,118.26,1.0,5,Adult,Non-Binary,None,True,Adult - Non-Binary - None
user_8244,Colorblind Mode,61.77,2.0,0,Senior,Non-Binary,None,False,Senior - Non-Binary - None
user_3716,Multilingual,93.97,1.0,5,Teenager,Male,None,True,Teenager - Male - None
user_9998,Text-to-Speech,60.42,1.0,3,Senior,Non-Binary,None,True,Senior - Non-Binary - None
user_4763,Multilingual,87.97,3.0,4,Professional,Unknown,LGBTQ+,True,Professional - Unknown - LGBTQ+
user_8838,Visual Aid,116.5,1.0,3,Adult,Female,None,True,Adult - Female - None
user_4934,Multilingual,34.05,5.0,5,Teenager,Unknown,LGBTQ+,True,Teenager - Unknown - LGBTQ+
user_2587,Text-to-Speech,34.04,1.0,2,Adult,Unknown,Person of Color,False,Adult - Unknown - Person of Color
user_2311,Text-to-Speech,45.09,3.0,0,Teenager,Unknown,Person of Color,False,Teenager - Unknown - Person of Color
user_6755,Visual Aid,97.75,3.0,3,Teenager,Female,None,True,Teenager - Female - None
